date,value,logId
11/15/2021 12:43:30 PM,1,34563997695
11/15/2021 12:44:30 PM,1,34563997695
11/15/2021 12:45:30 PM,1,34563997695
11/15/2021 12:46:30 PM,1,34563997695
11/15/2021 12:47:30 PM,2,34563997695
11/15/2021 12:48:30 PM,2,34563997695
11/15/2021 12:49:30 PM,1,34563997695
11/15/2021 12:50:30 PM,1,34563997695
11/15/2021 12:51:30 PM,1,34563997695
11/15/2021 12:52:30 PM,1,34563997695
11/15/2021 12:53:30 PM,1,34563997695
11/15/2021 12:54:30 PM,1,34563997695
11/15/2021 12:55:30 PM,1,34563997695
11/15/2021 12:56:30 PM,1,34563997695
11/15/2021 12:57:30 PM,1,34563997695
11/15/2021 12:58:30 PM,1,34563997695
11/15/2021 12:59:30 PM,1,34563997695
11/15/2021 1:00:30 PM,1,34563997695
11/15/2021 1:01:30 PM,1,34563997695
11/15/2021 1:02:30 PM,1,34563997695
11/15/2021 1:03:30 PM,1,34563997695
11/15/2021 1:04:30 PM,2,34563997695
11/15/2021 1:05:30 PM,1,34563997695
11/15/2021 1:06:30 PM,1,34563997695
11/15/2021 1:07:30 PM,1,34563997695
11/15/2021 1:08:30 PM,1,34563997695
11/15/2021 1:09:30 PM,1,34563997695
11/15/2021 1:10:30 PM,1,34563997695
11/15/2021 1:11:30 PM,1,34563997695
11/15/2021 1:12:30 PM,1,34563997695
11/15/2021 1:13:30 PM,1,34563997695
11/15/2021 1:14:30 PM,1,34563997695
11/15/2021 1:15:30 PM,1,34563997695
11/15/2021 1:16:30 PM,1,34563997695
11/15/2021 1:17:30 PM,1,34563997695
11/15/2021 1:18:30 PM,1,34563997695
11/15/2021 1:19:30 PM,1,34563997695
11/15/2021 1:20:30 PM,1,34563997695
11/15/2021 1:21:30 PM,1,34563997695
11/15/2021 1:22:30 PM,1,34563997695
11/15/2021 1:23:30 PM,1,34563997695
11/15/2021 1:24:30 PM,1,34563997695
11/15/2021 1:25:30 PM,1,34563997695
11/15/2021 1:26:30 PM,1,34563997695
11/15/2021 1:27:30 PM,1,34563997695
11/15/2021 1:28:30 PM,1,34563997695
11/15/2021 1:29:30 PM,1,34563997695
11/15/2021 1:30:30 PM,1,34563997695
11/15/2021 1:31:30 PM,1,34563997695
11/15/2021 1:32:30 PM,1,34563997695
11/15/2021 1:33:30 PM,1,34563997695
11/15/2021 1:34:30 PM,1,34563997695
11/15/2021 1:35:30 PM,1,34563997695
11/15/2021 1:36:30 PM,1,34563997695
11/15/2021 1:37:30 PM,1,34563997695
11/15/2021 1:38:30 PM,1,34563997695
11/15/2021 1:39:30 PM,1,34563997695
11/15/2021 1:40:30 PM,1,34563997695
11/15/2021 1:41:30 PM,1,34563997695
11/15/2021 1:42:30 PM,1,34563997695
11/15/2021 1:43:30 PM,1,34563997695
11/15/2021 1:44:30 PM,1,34563997695
11/15/2021 1:45:30 PM,1,34563997695
11/15/2021 1:46:30 PM,1,34563997695
11/15/2021 1:47:30 PM,1,34563997695
11/15/2021 1:48:30 PM,1,34563997695
11/15/2021 1:49:30 PM,1,34563997695
11/15/2021 1:50:30 PM,1,34563997695
11/15/2021 1:51:30 PM,1,34563997695
11/15/2021 1:52:30 PM,1,34563997695
11/15/2021 1:53:30 PM,1,34563997695
11/15/2021 1:54:30 PM,1,34563997695
11/15/2021 1:55:30 PM,1,34563997695
11/15/2021 1:56:30 PM,1,34563997695
11/15/2021 1:57:30 PM,1,34563997695
11/15/2021 1:58:30 PM,1,34563997695
11/15/2021 1:59:30 PM,1,34563997695
11/15/2021 2:00:30 PM,1,34563997695
11/15/2021 2:01:30 PM,1,34563997695
11/15/2021 2:02:30 PM,1,34563997695
11/15/2021 2:03:30 PM,1,34563997695
11/15/2021 2:04:30 PM,1,34563997695
11/15/2021 2:05:30 PM,1,34563997695
11/15/2021 2:06:30 PM,1,34563997695
11/15/2021 2:07:30 PM,1,34563997695
11/15/2021 2:08:30 PM,1,34563997695
11/15/2021 2:09:30 PM,1,34563997695
11/15/2021 2:10:30 PM,1,34563997695
11/15/2021 2:11:30 PM,1,34563997695
11/15/2021 2:12:30 PM,1,34563997695
11/15/2021 2:13:30 PM,1,34563997695
11/15/2021 2:14:30 PM,1,34563997695
11/15/2021 2:15:30 PM,1,34563997695
11/15/2021 2:16:30 PM,1,34563997695
11/15/2021 2:17:30 PM,1,34563997695
11/15/2021 2:18:30 PM,1,34563997695
11/15/2021 2:19:30 PM,1,34563997695
11/15/2021 2:20:30 PM,1,34563997695
11/15/2021 2:21:30 PM,1,34563997695
11/15/2021 2:22:30 PM,1,34563997695
11/15/2021 2:23:30 PM,1,34563997695
11/15/2021 2:24:30 PM,1,34563997695
11/15/2021 2:25:30 PM,1,34563997695
11/15/2021 2:26:30 PM,1,34563997695
11/15/2021 2:27:30 PM,1,34563997695
11/15/2021 2:28:30 PM,1,34563997695
11/15/2021 2:29:30 PM,1,34563997695
11/15/2021 2:30:30 PM,1,34563997695
11/15/2021 2:31:30 PM,1,34563997695
11/15/2021 2:32:30 PM,1,34563997695
11/15/2021 2:33:30 PM,1,34563997695
11/15/2021 2:34:30 PM,1,34563997695
11/15/2021 2:35:30 PM,1,34563997695
11/15/2021 2:36:30 PM,1,34563997695
11/15/2021 2:37:30 PM,1,34563997695
11/15/2021 2:38:30 PM,1,34563997695
11/15/2021 2:39:30 PM,1,34563997695
11/15/2021 2:40:30 PM,1,34563997695
11/15/2021 2:41:30 PM,1,34563997695
11/15/2021 2:42:30 PM,1,34563997695
11/15/2021 2:43:30 PM,1,34563997695
11/15/2021 2:44:30 PM,1,34563997695
11/15/2021 2:45:30 PM,1,34563997695
11/15/2021 2:46:30 PM,2,34563997695
11/15/2021 2:47:30 PM,2,34563997695
11/15/2021 2:48:30 PM,2,34563997695
11/15/2021 2:49:30 PM,2,34563997695
11/15/2021 2:50:30 PM,3,34563997695
11/15/2021 2:51:30 PM,3,34563997695
11/15/2021 2:52:30 PM,3,34563997695
11/15/2021 2:53:30 PM,3,34563997695
11/15/2021 2:54:30 PM,3,34563997695
11/15/2021 2:55:30 PM,2,34563997695
11/15/2021 2:56:30 PM,1,34563997695
11/15/2021 2:57:30 PM,1,34563997695
11/15/2021 2:58:30 PM,1,34563997695
11/15/2021 2:59:30 PM,1,34563997695
11/15/2021 3:00:30 PM,1,34563997695
11/15/2021 3:01:30 PM,1,34563997695
11/15/2021 3:02:30 PM,1,34563997695
11/15/2021 3:03:30 PM,1,34563997695
11/15/2021 3:04:30 PM,1,34563997695
11/15/2021 3:05:30 PM,1,34563997695
11/15/2021 3:06:30 PM,1,34563997695
11/15/2021 3:07:30 PM,1,34563997695
11/15/2021 3:08:30 PM,1,34563997695
11/15/2021 3:09:30 PM,1,34563997695
11/15/2021 3:10:30 PM,1,34563997695
11/15/2021 3:11:30 PM,1,34563997695
11/15/2021 3:12:30 PM,1,34563997695
11/15/2021 3:13:30 PM,1,34563997695
11/15/2021 3:14:30 PM,1,34563997695
11/15/2021 3:15:30 PM,1,34563997695
11/15/2021 3:16:30 PM,1,34563997695
11/15/2021 3:17:30 PM,1,34563997695
11/15/2021 3:18:30 PM,1,34563997695
11/15/2021 3:19:30 PM,1,34563997695
11/15/2021 3:20:30 PM,1,34563997695
11/15/2021 3:21:30 PM,1,34563997695
11/15/2021 3:22:30 PM,1,34563997695
11/15/2021 3:23:30 PM,1,34563997695
11/15/2021 3:24:30 PM,1,34563997695
11/15/2021 3:25:30 PM,1,34563997695
11/15/2021 3:26:30 PM,1,34563997695
11/15/2021 3:27:30 PM,1,34563997695
11/15/2021 3:28:30 PM,1,34563997695
11/15/2021 3:29:30 PM,1,34563997695
11/15/2021 3:30:30 PM,1,34563997695
11/15/2021 3:31:30 PM,1,34563997695
11/15/2021 3:32:30 PM,1,34563997695
11/15/2021 3:33:30 PM,1,34563997695
11/15/2021 3:34:30 PM,1,34563997695
11/15/2021 3:35:30 PM,1,34563997695
11/15/2021 3:36:30 PM,1,34563997695
11/15/2021 3:37:30 PM,1,34563997695
11/15/2021 3:38:30 PM,1,34563997695
11/15/2021 3:39:30 PM,1,34563997695
11/15/2021 3:40:30 PM,1,34563997695
11/15/2021 3:41:30 PM,1,34563997695
11/15/2021 3:42:30 PM,1,34563997695
11/15/2021 3:43:30 PM,1,34563997695
11/15/2021 3:44:30 PM,1,34563997695
11/15/2021 3:45:30 PM,1,34563997695
11/15/2021 3:46:30 PM,1,34563997695
11/15/2021 3:47:30 PM,1,34563997695
11/15/2021 3:48:30 PM,1,34563997695
11/15/2021 3:49:30 PM,1,34563997695
11/15/2021 3:50:30 PM,1,34563997695
11/15/2021 3:51:30 PM,1,34563997695
11/15/2021 3:52:30 PM,1,34563997695
11/15/2021 3:53:30 PM,1,34563997695
11/15/2021 3:54:30 PM,1,34563997695
11/15/2021 3:55:30 PM,1,34563997695
11/15/2021 3:56:30 PM,1,34563997695
11/15/2021 3:57:30 PM,1,34563997695
11/15/2021 3:58:30 PM,1,34563997695
11/15/2021 3:59:30 PM,1,34563997695
11/15/2021 4:00:30 PM,1,34563997695
11/15/2021 4:01:30 PM,1,34563997695
11/15/2021 4:02:30 PM,1,34563997695
11/15/2021 4:03:30 PM,1,34563997695
11/15/2021 4:04:30 PM,1,34563997695
11/15/2021 4:05:30 PM,1,34563997695
11/15/2021 4:06:30 PM,1,34563997695
11/15/2021 4:07:30 PM,1,34563997695
11/15/2021 4:08:30 PM,1,34563997695
11/15/2021 4:09:30 PM,1,34563997695
11/15/2021 4:10:30 PM,1,34563997695
11/15/2021 4:11:30 PM,1,34563997695
11/15/2021 4:12:30 PM,1,34563997695
11/15/2021 4:13:30 PM,1,34563997695
11/15/2021 4:14:30 PM,1,34563997695
11/15/2021 4:15:30 PM,1,34563997695
11/15/2021 4:16:30 PM,1,34563997695
11/15/2021 4:17:30 PM,2,34563997695
11/15/2021 4:18:30 PM,1,34563997695
11/15/2021 4:19:30 PM,2,34563997695
